State,State_name,County,County_Name,Region_name,Region
1,ALABAMA,1,Autauga,Region 4,4
1,ALABAMA,3,Baldwin,Region 4,4
1,ALABAMA,5,Barbour,Region 4,4
1,ALABAMA,7,Bibb,Region 4,4
1,ALABAMA,9,Blount,Region 4,4
1,ALABAMA,11,Bullock,Region 4,4
1,ALABAMA,13,Butler,Region 4,4
1,ALABAMA,15,Calhoun,Region 4,4
1,ALABAMA,17,Chambers,Region 4,4
1,ALABAMA,19,Cherokee,Region 4,4
1,ALABAMA,21,Chilton,Region 4,4
1,ALABAMA,23,Choctaw,Region 4,4
1,ALABAMA,25,Clarke,Region 4,4
1,ALABAMA,27,Clay,Region 4,4
1,ALABAMA,29,Cleburne,Region 4,4
1,ALABAMA,31,Coffee,Region 4,4
1,ALABAMA,33,Colbert,Region 4,4
1,ALABAMA,35,Conecuh,Region 4,4
1,ALABAMA,37,Coosa,Region 4,4
1,ALABAMA,39,Covington,Region 4,4
1,ALABAMA,41,Crenshaw,Region 4,4
1,ALABAMA,43,Cullman,Region 4,4
1,ALABAMA,45,Dale,Region 4,4
1,ALABAMA,47,Dallas,Region 4,4
1,ALABAMA,49,DeKalb,Region 4,4
1,ALABAMA,51,Elmore,Region 4,4
1,ALABAMA,53,Escambia,Region 4,4
1,ALABAMA,55,Etowah,Region 4,4
1,ALABAMA,57,Fayette,Region 4,4
1,ALABAMA,59,Franklin,Region 4,4
1,ALABAMA,61,Geneva,Region 4,4
1,ALABAMA,63,Greene,Region 4,4
1,ALABAMA,65,Hale,Region 4,4
1,ALABAMA,67,Henry,Region 4,4
1,ALABAMA,69,Houston,Region 4,4
1,ALABAMA,71,Jackson,Region 4,4
1,ALABAMA,73,Jefferson,Region 4,4
1,ALABAMA,75,Lamar,Region 4,4
1,ALABAMA,77,Lauderdale,Region 4,4
1,ALABAMA,79,Lawrence,Region 4,4
1,ALABAMA,81,Lee,Region 4,4
1,ALABAMA,83,Limestone,Region 4,4
1,ALABAMA,85,Lowndes,Region 4,4
1,ALABAMA,87,Macon,Region 4,4
1,ALABAMA,89,Madison,Region 4,4
1,ALABAMA,91,Marengo,Region 4,4
1,ALABAMA,93,Marion,Region 4,4
1,ALABAMA,95,Marshall,Region 4,4
1,ALABAMA,97,Mobile,Region 4,4
1,ALABAMA,99,Monroe,Region 4,4
1,ALABAMA,101,Montgomery,Region 4,4
1,ALABAMA,103,Morgan,Region 4,4
1,ALABAMA,105,Perry,Region 4,4
1,ALABAMA,107,Pickens,Region 4,4
1,ALABAMA,109,Pike,Region 4,4
1,ALABAMA,111,Randolph,Region 4,4
1,ALABAMA,113,Russell,Region 4,4
1,ALABAMA,115,St. Clair,Region 4,4
1,ALABAMA,117,Shelby,Region 4,4
1,ALABAMA,119,Sumter,Region 4,4
1,ALABAMA,121,Talladega,Region 4,4
1,ALABAMA,123,Tallapoosa,Region 4,4
1,ALABAMA,125,Tuscaloosa,Region 4,4
1,ALABAMA,127,Walker,Region 4,4
1,ALABAMA,129,Washington,Region 4,4
1,ALABAMA,131,Wilcox,Region 4,4
1,ALABAMA,133,Winston,Region 4,4
2,ALASKA,13,Aleutians East,Region 10,10
2,ALASKA,16,Aleutians West,Region 10,10
2,ALASKA,20,Anchorage,Region 10,10
2,ALASKA,50,Bethel,Region 10,10
2,ALASKA,60,Bristol Bay,Region 10,10
2,ALASKA,68,Denali,Region 10,10
2,ALASKA,70,Dillingham,Region 10,10
2,ALASKA,90,Fairbanks North Star,Region 10,10
2,ALASKA,100,Haines,Region 10,10
2,ALASKA,105,Hoonah-Angoon,Region 10,10
2,ALASKA,110,Juneau,Region 10,10
2,ALASKA,122,Kenai Peninsula,Region 10,10
2,ALASKA,130,Ketchikan Gateway,Region 10,10
2,ALASKA,150,Kodiak Island,Region 10,10
2,ALASKA,158,Kusilvak,Region 10,10
2,ALASKA,164,Lake and Peninsula,Region 10,10
2,ALASKA,170,Matanuska-Susitna,Region 10,10
2,ALASKA,180,Nome,Region 10,10
2,ALASKA,185,North Slope,Region 10,10
2,ALASKA,188,Northwest Arctic,Region 10,10
2,ALASKA,195,Petersburg,Region 10,10
2,ALASKA,198,Prince of Wales-Hyder,Region 10,10
2,ALASKA,220,Sitka,Region 10,10
2,ALASKA,230,Skagway,Region 10,10
2,ALASKA,240,Southeast Fairbanks,Region 10,10
2,ALASKA,261,Valdez-Cordova,Region 10,10
2,ALASKA,275,Wrangell,Region 10,10
2,ALASKA,282,Yakutat,Region 10,10
2,ALASKA,290,Yukon-Koyukuk,Region 10,10
4,ARIZONA,1,Apache,Region 9,9
4,ARIZONA,3,Cochise,Region 9,9
4,ARIZONA,5,Coconino,Region 9,9
4,ARIZONA,7,Gila,Region 9,9
4,ARIZONA,9,Graham,Region 9,9
4,ARIZONA,11,Greenlee,Region 9,9
4,ARIZONA,12,La Paz,Region 9,9
4,ARIZONA,13,Maricopa,Region 9,9
4,ARIZONA,15,Mohave,Region 9,9
4,ARIZONA,17,Navajo,Region 9,9
4,ARIZONA,19,Pima,Region 9,9
4,ARIZONA,21,Pinal,Region 9,9
4,ARIZONA,23,Santa Cruz,Region 9,9
4,ARIZONA,25,Yavapai,Region 9,9
4,ARIZONA,27,Yuma,Region 9,9
5,ARKANSAS,1,Arkansas,Region 6,6
5,ARKANSAS,3,Ashley,Region 6,6
5,ARKANSAS,5,Baxter,Region 6,6
5,ARKANSAS,7,Benton,Region 6,6
5,ARKANSAS,9,Boone,Region 6,6
5,ARKANSAS,11,Bradley,Region 6,6
5,ARKANSAS,13,Calhoun,Region 6,6
5,ARKANSAS,15,Carroll,Region 6,6
5,ARKANSAS,17,Chicot,Region 6,6
5,ARKANSAS,19,Clark,Region 6,6
5,ARKANSAS,21,Clay,Region 6,6
5,ARKANSAS,23,Cleburne,Region 6,6
5,ARKANSAS,25,Cleveland,Region 6,6
5,ARKANSAS,27,Columbia,Region 6,6
5,ARKANSAS,29,Conway,Region 6,6
5,ARKANSAS,31,Craighead,Region 6,6
5,ARKANSAS,33,Crawford,Region 6,6
5,ARKANSAS,35,Crittenden,Region 6,6
5,ARKANSAS,37,Cross,Region 6,6
5,ARKANSAS,39,Dallas,Region 6,6
5,ARKANSAS,41,Desha,Region 6,6
5,ARKANSAS,43,Drew,Region 6,6
5,ARKANSAS,45,Faulkner,Region 6,6
5,ARKANSAS,47,Franklin,Region 6,6
5,ARKANSAS,49,Fulton,Region 6,6
5,ARKANSAS,51,Garland,Region 6,6
5,ARKANSAS,53,Grant,Region 6,6
5,ARKANSAS,55,Greene,Region 6,6
5,ARKANSAS,57,Hempstead,Region 6,6
5,ARKANSAS,59,Hot Spring,Region 6,6
5,ARKANSAS,61,Howard,Region 6,6
5,ARKANSAS,63,Independence,Region 6,6
5,ARKANSAS,65,Izard,Region 6,6
5,ARKANSAS,67,Jackson,Region 6,6
5,ARKANSAS,69,Jefferson,Region 6,6
5,ARKANSAS,71,Johnson,Region 6,6
5,ARKANSAS,73,Lafayette,Region 6,6
5,ARKANSAS,75,Lawrence,Region 6,6
5,ARKANSAS,77,Lee,Region 6,6
5,ARKANSAS,79,Lincoln,Region 6,6
5,ARKANSAS,81,Little River,Region 6,6
5,ARKANSAS,83,Logan,Region 6,6
5,ARKANSAS,85,Lonoke,Region 6,6
5,ARKANSAS,87,Madison,Region 6,6
5,ARKANSAS,89,Marion,Region 6,6
5,ARKANSAS,91,Miller,Region 6,6
5,ARKANSAS,93,Mississippi,Region 6,6
5,ARKANSAS,95,Monroe,Region 6,6
5,ARKANSAS,97,Montgomery,Region 6,6
5,ARKANSAS,99,Nevada,Region 6,6
5,ARKANSAS,101,Newton,Region 6,6
5,ARKANSAS,103,Ouachita,Region 6,6
5,ARKANSAS,105,Perry,Region 6,6
5,ARKANSAS,107,Phillips,Region 6,6
5,ARKANSAS,109,Pike,Region 6,6
5,ARKANSAS,111,Poinsett,Region 6,6
5,ARKANSAS,113,Polk,Region 6,6
5,ARKANSAS,115,Pope,Region 6,6
5,ARKANSAS,117,Prairie,Region 6,6
5,ARKANSAS,119,Pulaski,Region 6,6
5,ARKANSAS,121,Randolph,Region 6,6
5,ARKANSAS,123,St. Francis,Region 6,6
5,ARKANSAS,125,Saline,Region 6,6
5,ARKANSAS,127,Scott,Region 6,6
5,ARKANSAS,129,Searcy,Region 6,6
5,ARKANSAS,131,Sebastian,Region 6,6
5,ARKANSAS,133,Sevier,Region 6,6
5,ARKANSAS,135,Sharp,Region 6,6
5,ARKANSAS,137,Stone,Region 6,6
5,ARKANSAS,139,Union,Region 6,6
5,ARKANSAS,141,Van Buren,Region 6,6
5,ARKANSAS,143,Washington,Region 6,6
5,ARKANSAS,145,White,Region 6,6
5,ARKANSAS,147,Woodruff,Region 6,6
5,ARKANSAS,149,Yell,Region 6,6
6,CALIFORNIA,1,Alameda,Region 9,9
6,CALIFORNIA,3,Alpine,Region 9,9
6,CALIFORNIA,5,Amador,Region 9,9
6,CALIFORNIA,7,Butte,Region 9,9
6,CALIFORNIA,9,Calaveras,Region 9,9
6,CALIFORNIA,11,Colusa,Region 9,9
6,CALIFORNIA,13,Contra Costa,Region 9,9
6,CALIFORNIA,15,Del Norte,Region 9,9
6,CALIFORNIA,17,El Dorado,Region 9,9
6,CALIFORNIA,19,Fresno,Region 9,9
6,CALIFORNIA,21,Glenn,Region 9,9
6,CALIFORNIA,23,Humboldt,Region 9,9
